CustomerID,mean_prob
1393-IMKZG,91.529759
7577-SWIFR,91.174089
7439-DKZTW,90.796628
1628-BIZYP,89.833023
7379-FNIUJ,89.616652
4912-PIGUY,89.280475
1452-VOQCH,89.220666
2424-WVHPL,89.178003
9840-EFJQB,89.110852
5542-TBBWB,88.899224
4927-WWOOZ,88.678061
5091-HFAZW,88.664739
0139-IVFJG,88.531131
0722-SVSFK,88.494561
2262-SLNVK,88.415432
9603-OAIHC,88.412595
4566-NECEV,88.348709
5043-TRZWM,88.203569
8775-ERLNB,88.134515
6734-GMPVK,88.071239
7315-WYOAW,88.046873
3878-AVSOQ,88.020092
4060-LDNLU,87.968793
2984-AFWNC,87.943248
5150-ITWWB,87.917934
6350-XFYGW,87.903232
3489-HHPFY,87.785664
2545-EBUPK,87.785664
0021-IKXGC,87.767095
7398-SKNQZ,87.706007
0258-NOKBL,87.667587
3318-NMQXL,87.661137
9605-WGJVW,87.656358
5339-PXDVH,87.612714
8266-VBFQL,87.600911
1640-PLFMP,87.584458
8161-QYMTT,87.491616
2038-OEQZH,87.430614
3462-BJQQA,87.397799
8622-ZLFKO,87.344652
0225-ZORZP,87.310562
6630-UJZMY,87.30812
4847-TAJYI,87.291834
7465-ZZRVX,87.26342
1960-UYCNN,87.234892
8903-WMRNW,87.22744
8242-SOQUO,87.180026
9290-SHCMB,87.153815
8087-LGYHQ,87.144117
2789-HQBOU,87.131449
8739-XNIKG,87.124006
6923-JHPMP,87.106821
6435-SRWBJ,87.082293
8035-PWSEV,87.06097
4298-OYIFC,87.058261
4813-HQMGZ,87.057012
9094-AZPHK,87.047815
1251-STYSZ,87.040595
6357-JJPQT,87.005806
6458-CYIDZ,86.976743
3422-GALYP,86.938679
8687-BAFGU,86.934191
0793-TWELN,86.926393
3904-UKFRE,86.923699
2123-AGEEN,86.882016
9093-FPDLG,86.879517
4395-PZMSN,86.86649
9957-YODKZ,86.842603
4234-XTNEA,86.821191
3338-CVVEH,86.809686
3420-YJLQT,86.785772
4741-WWJQZ,86.782849
6969-MVBAI,86.764733
4884-ZTHVF,86.729999
3629-ZNKXA,86.705353
6215-NQCPY,86.701399
0365-BZUWY,86.689545
0187-QSXOE,86.685325
4132-KALRO,86.678077
4853-OITSN,86.671965
1200-TUZHR,86.633311
3320-VEOYC,86.549712
4123-DVHPH,86.528977
6918-UMQCG,86.525953
5348-CAGXB,86.466056
3914-FDRHP,86.447866
4115-NZRKS,86.430652
5760-FXFVO,86.326673
2080-GKCWQ,86.288842
6229-LSCKB,86.283273
1173-XZPYF,86.280468
3370-HXOPH,86.236398
6986-IXNDM,86.2249
4299-SIMNS,86.195318
4770-UEZOX,86.190783
5701-YVSVF,86.17279
1319-YLZJG,86.132254
7517-LDMPS,86.132254
5937-EORGB,86.129003
2876-GZYZC,86.126068
2754-SDJRD,86.113491
0315-LVCRK,86.108861
7858-GTZSP,86.107506
2215-ZAFGX,86.062601
1508-DFXCU,85.989498
2792-LSHWX,85.964122
4445-ZJNMU,85.839096
5935-FCCNB,85.792785
4559-UWIHT,85.770665
0577-WHMEV,85.739788
6583-KQJLK,85.738679
6719-OXYBR,85.723232
0570-BFQHT,85.69732
9402-ORRAH,85.652528
5429-LWCMV,85.652374
2468-SJFLM,85.648696
2507-QZPQS,85.644871
7225-CBZPL,85.64046
9773-PEQBZ,85.597998
4929-XIHVW,85.562411
0928-XUTSN,85.536153
4583-PARNH,85.450243
0221-WMXNQ,85.448477
4090-KPJIP,85.448234
2688-BHGOG,85.288306
7363-QTBIW,85.284814
8104-OSKWT,85.264596
5989-PGKJB,85.252651
6198-RTPMF,85.239198
1197-BVMVG,85.237392
7668-XCFYV,85.236045
7426-RHZGU,85.129349
8040-MNRTF,85.030623
7823-JSOAG,85.01807
9050-IKDZA,84.974875
6407-UTSLV,84.966793
2325-NBPZG,84.961058
5399-ZIMKF,84.897911
9714-EDSUC,84.883749
4137-BTIKL,84.815574
2880-FPNAE,84.782063
1746-TGTWV,84.640423
2674-MIAHT,84.613428
3365-SAIGS,84.574887
2254-DLXRI,84.507143
5183-SNMJQ,84.501824
2135-DQWAQ,84.451204
8714-CTZJW,84.446312
4749-OJKQU,84.406889
0432-CAJZV,84.314243
4854-CIDCF,84.305891
1212-GLHMD,84.304917
0641-EVBOJ,84.290972
7952-OBOYL,84.269825
8132-YPVBX,84.201136
3295-YVUSR,84.159891
5288-AHOUP,84.155399
1475-VWVDO,84.129028
9334-GWGOW,84.068473
6856-RAURS,84.05172
3969-GYXEL,84.009995
0840-DFEZH,84.005332
5032-MIYKT,83.99519
9696-RMYBA,83.974707
3292-PBZEJ,83.928137
1219-NNDDO,83.913866
0581-BXBUB,83.885352
9741-YLNTD,83.865604
3916-NRPAP,83.821243
8325-QRPZR,83.817796
6198-ZFIOJ,83.796066
9617-INGJY,83.778926
8309-IEYJD,83.778926
6646-JPPHA,83.762199
5928-QLDHB,83.73554
7852-LECYP,83.725864
7354-OIJLX,83.710064
2077-MPJQO,83.675399
8617-ENBDS,83.652848
3966-HRMZA,83.627673
3317-VLGQT,83.554382
3030-YDNRM,83.434107
7901-HXJVA,83.425971
7126-RBHSD,83.374788
2800-VEQXM,83.365422
9518-XXBXE,83.325651
6077-BDPXA,83.320583
9398-MMQTO,83.301523
9633-XQABV,83.28221
7044-YAACC,83.2793
1658-TJVOA,83.24667
6705-LXORM,83.201655
3411-WLRSQ,83.199616
0644-OQMDK,83.071433
3496-LFSZU,83.049155
9494-MRNYX,83.016049
8778-LMWTJ,83.006106
7994-UYIVZ,83.004092
5119-NZPTV,82.985875
3199-XGZCY,82.985603
5879-SESNB,82.946863
6339-YPSAH,82.844784
7206-PQBBZ,82.831601
2501-XWWTZ,82.831601
8541-QVFKM,82.816266
1391-UBDAR,82.805882
2959-FENLU,82.805442
7321-VGNKU,82.802772
5442-BHQNG,82.802772
4633-MKHYU,82.783749
7394-LWLYN,82.77161
4450-DLLMH,82.667863
9717-QEBGU,82.597107
7245-NIIWQ,82.566164
